Id,avg_steps,Steps_status
1503960366,12520.633333333331,Very active
1624580081,5743.9032258064517,Low
1644430081,7282.9666666666672,Low
1844505072,3808.6666666666679,Limited
1927972279,1670.5882352941173,Basal
2022484408,11370.64516129032,Active
2026352035,5566.8709677419356,Low
2320127002,4716.8709677419356,Limited
2347167796,9519.6666666666661,Somewhat active
2873212765,7555.7741935483864,Somewhat active
3372868164,6861.65,Low
3977333714,10984.566666666668,Active
4020332650,4134.35294117647,Limited
4057192912,5117.333333333333,Low
4319703577,7268.8387096774195,Low
4388161847,10813.935483870968,Active
4445114986,4796.5483870967746,Limited
4558609924,7685.1290322580662,Somewhat active
4702921684,8857.8,Somewhat active
5553957443,8612.5806451612916,Somewhat active
5577150313,8897.6071428571449,Somewhat active
6117666160,8578.608695652174,Somewhat active
6290855005,6826.5416666666661,Low
6775888955,3853.6470588235297,Limited
6962181067,9794.8064516129016,Somewhat active
7007744171,12267.041666666668,Active
7086361926,9684.1666666666679,Somewhat active
8053475328,14763.290322580648,Very active
8253242879,6842.2777777777783,Low
8378563200,8717.709677419356,Somewhat active
8583815059,7438.4666666666672,Low
8792009665,2829.3684210526317,Limited
8877689391,16040.032258064517,Very active
